name	author	downloadCount	description	creationTime	downloadRate
Create: Totem Factory	MarcosJoestar	286000	Adds a complex crafting recipe for the totem of undying, with multiple steps and items,...	472	605.9322033898305
Create: WooderWheels	iylo	78200	A simple plugin to make Create waterwheels accept any and all wood types.	481	162.57796257796258
Create: More Drill Heads	Forsteri123	618000	More drill heads for faster mining machines!	809	763.9060568603214
Create: Cobble to Netherrack	Tamaized	373	Create: Cobblestone to Netherrack	484	0.7706611570247934
TFC Ore Excavation	sir_Robson	456000	TFC deposits mined by "create ore excavation"	501	910.1796407185628
Easy Trains	Jagdoggo	10300	This mod makes create mod trains easier to craft	491	20.977596741344197
EC Create Compatability	Userofbricks	41100	adds Compatability between Create And Expanded Combat	588	69.89795918367346
Skyward Recipe Changes	Slimekong20	34700	Some recipe changes	495	70.1010101010101
Gravitas² Core	screret	19700	The core integration mod for ATM Gravitas².	561	35.115864527629235
Create: More Automation	Snakeypro	357000	A Simple Create addon that makes it so you can automate so much more!	556	642.0863309352518
Create: More Copycats	Bennyboy1695	11300	Adds a whole bunch more copycat blocks to the game based on creates copycat blocks	510	22.15686274509804
Sanders' More Food	Sanderk35	174	More food = More fun	516	0.3372093023255814
Create Sandpaper Overhaul	tiny_ghasto	28400	A addon to the amazing Create Mod that adds more variations of sandpapers. Currently, the...	669	42.45142002989537
Create: The Recipe Expansion	INFInight897	90200	Adds recipes for items making them fully automatable whilst sticking to the true create feel!	536	168.28358208955223
RPM2RF	Partonetrain	5600	Standalone RPM -> RF conversion	681	8.223201174743025
Create : The Salt	TorsePoil	350000	A small compatibility mod for create and the salt mod.	540	648.1481481481482
Hexcoins: Create Crushin'	MrTinker	5400	This hexcoins and create addon sometimes gives iron hexcoins by crushing sand, gravel and red...	526	10.26615969581749
Create Curio Goggles	GlekTarssza	60000	A mod for Minecraft 1.16.5 that adds the Create Goggles to the Curios head slot.	538	111.52416356877323
Create: Immersive Portals for Forge	ArgenNova	31600	Allows create trains to traverse the portals from Immersive Portals	545	57.981651376146786
Freeze Create	baguchiMC	3100	Freezer Mechanic with Create	543	5.70902394106814
Wooden cog	ChauveDev	78700	This mod is a compatibility mod for Create mod and TerraFirmaCraft	723	108.85200553250345
EnderSMP Economy	wrldmap	161	EnderSMP's money mod!	542	0.29704797047970477
Create : Ammo	Koone0	15800	Allow to automate ammo production	580	27.24137931034483
Create : Armory	Chilllliii	1200000	A create addon that adds guns and rockets	798	1503.7593984962407
Create: Founded	dragoneye_eon	14600	Realistic Foundry Create Recipes/Items	575	25.391304347826086
Create: Extra Motors	FilipPikus12333	37	A Create Addon That adds More Motors	563	0.06571936056838366
Potato Cannon Ammo Counter	Tejty	10900	Allows you to see how much ammo you have in inventory	564	19.326241134751772
Create: Raw Brass	Luna	4900	it adds brass ore whaa????????	569	8.611599297012303
Ender IO: ReCreated	Ropyxa	103000	Ender IO: ReCreated is an addon for Create and Ender IO which adds their integration.	570	180.7017543859649
